name,city,country,address,contact_email,contact_phone,website_url,logo_url
Сдружение ВК Атом,,Bulgaria,"жк. 2 бл. 39, ет. 3, ап. 9",vk_atom@mail.bg,0885758741,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СКВ ДИЕМ Русе,,Bulgaria,"ул. ""Димчо Дебелянов"" № 62, Автоимпекс-1, вх. Б, ет. 4",mimi_pench@abv.bg,0887602754,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЛЮБО ГАНЕВ - АВТОСВЯТ,,Bulgaria,"ул. ""Г. С. Раковски"" № 19, ет. 2, ап. 5",di.marinova@abv.bg,0888548853,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Севлиево Волей,,Bulgaria,"ул. ""Марин Попов"" № 54",Sevlievovolley@abv.bg,0888585577,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Звездец,,Bulgaria,"с. Горна Малина, зала Арена Горна Малина",genkov.ivan@gmail.com,0898724526,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ОСК Левски - 2005,,Bulgaria,"ул. ""Гена Павлова"" № 5",kpetrov1964@abv.bg,0898561481,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Ропотамо,,Bulgaria,"ул. ""Трети март"" № 66",vkropotamo@abv.bg,0889080448,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ОСК Славия,,Bulgaria,"кв. Овча купел, ул. ""Коломан"" №1",volleyslavia@gmail.com,+359 898 49 50 50,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Велбъжд - Олимпия,,Bulgaria,"ул. ""Цар Освободител"" № 19",emil_stoianovkn@abv.bg,0878438989,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Марица - Белово,,Bulgaria,"ул. ""Георги Бенковски"" - Спортна зала",ivan_rover@abv.bg,0892052578,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Марица - Пловдив,,Bulgaria,"ул. ""Пещерско шосе"" № 201, зала Колодрум",info@volleymaritza.bg,0882989838,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЦСКА,,Bulgaria,"бул. ""Асен Йорданов"" № 1, зала ""Васил Симов""",info@cskavolley.org,0896668889,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Сливен - Волей,,Bulgaria,"ул. ""Хилендар"" № 3, Спортна зала ""Асеновец""",sliven_volley@abv.bg,0877285817,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Локомотив (ЧБ),,Bulgaria,"ул. ""Цар Асен"" № 28",mi6o7002@abv.bg,0898670835,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Добруджa 07,,Bulgaria,"ул. ""Генерал Колев"" № 55, /зала УСШ/",dobrudjavolley@abv.bg,0895702096,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Раковски - 1964,,Bulgaria,"ул. ""Стефан Пешев"", Спортна зала ""Дан Колов"" No 1",rakovski_volley@abv.bg,0878876230,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Нефтохимик - 2010,,Bulgaria,"ж.к. Лазур, Спортна зала ""Нефтохимик""",lukoil_volei@abv.bg,0899926999,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Коини Волей,,Bulgaria,"ул. ""Княз Борис I"" № 45, бл. 3, вх. В, ап. 8",koini@abv.bg,0899871020,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Бъдин-Волей,,Bulgaria,ул. Княз Борис I №25,k.n.georgieva@abv.bg,+3596767396739,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ЧЕРНОМОРЕЦ БЯЛА 2008,,Bulgaria,"ул. ""Гроздьо Желев"" № 34",byalavolley@byala.org,0893398134,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Армеец,,Bulgaria,"бул. ""Асен Йорданов"" №1",armeec@cskavolley.com,0897858150,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК ПАН-Волей,,Bulgaria,"ул ""Георги Бенковски"" № 32А",r_angelkova@abv.bg,0883549536,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Омуртаг,,Bulgaria,"ул. ""Търновска"" № 1",andi_55@abv.bg,0899823063,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Ботев (Ихт),,Bulgaria,"ул. ""Цар Освободител"" № 123, зала СУ Христо Ботев",vkbotevihtiman@gmail.com,0896790059,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Марица 2022,,Bulgaria,"ул. ""Полет"" №1, ап. Офис 2",info@volleymaritza.bg,0882989838,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Хан Аспарух,,Bulgaria,"ул. ""Панайот Волов"" № 15, зала ОУ ""Христо Ботев"" ул. Лудогорие 90",ivanka_pl.60@abv.bg,0894616590,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК ВИХЪР,,Bulgaria,"ул. ""Добруджа"" № 3",vk_vihar_vldol@abv.bg,0882021513,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Бургас 2007,,Bulgaria,"ул. ""Пробуда"" № 41, ет. 1",ouskburgas2007@abv.bg,0896760002,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Благоевград,,Bulgaria,"ул. ""Тодор Александров"" № 43Б, ет. 2",vcblagoevgrad@abv.bg,0879992326,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Металик волей,,Bulgaria,"ул. ""Иван Вазов"" №64, вх. Б, ап. 4",i.gerasimov@abv.bg,0898453003,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Черно море,,Bulgaria,"ул. ""Никола Вапцаров"" № 9, зала Христо Ботев",bask@abv.bg,0888407606,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение ВК Импулс,,Bulgaria,"ул. ""Опълченска"" № 20",vk_impuls_do@abv.bg,0885844150,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
Сдружение СК Волейболна Академия Лъвски Сърца,,Bulgaria,"кв. Горна Баня, ул. Никола Петков №143А, вх. Б, ап. 10",lionheartsvolley@gmail.com,+359885871227,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg
